tags,gloss,type,subcategories
color,be X in color,final,"AI, II"
"be
become","be, become",final,"AI, II"
"be
have","(anim.) be, have",final,AI
"be
become",be/come to be (in/with the body),final,
bear (N),bear,final,N
become,become,final,"N, II"
"become
quickly","become, quickly",final,II
"become
happen
quickly
suddenly","become, quickly become, quickly happen, happen quickly, suddenly happen",final,AI
become,becoming,final,
be,being,final,intr
strung,being strung,final,
stung,being stung,final,unknown
belly,belly,final,AI
"belly
body","belly, body",final,"AI, N"
bend,bend,final,AI
"berry
grain
fruit",berry,final,N
berry,berry form of X,final,
"berry
fruit
grain","berry, etc.",final,N
"berry
fruit
grain","berry, grain",final,N
"berry
fruit
grain","berry, grain, fruit",final,N
"berry
fruit
grain
nut","berry, nut",final,N
big,big,final,"AI, II"
bird,bird,final,N
bite,bite,final,TA
"bite
eat","bite, eat",final,"TA, TI"
"bite
taste","bite, taste",final,TA
bladder,bladder,final,AI
"blade
cut","blade, cutting",final,"TA, TI"
blaze,blaze,final,II
blaze,blaze ,final,II
"blaze
burn","blaze, burn",final,II
blended,blended ??,final,AI
blow,blow,final,"TA, TI"
blown,blown,final,II
blown away,"blown away, by wind",final,II
blown,blown by wind,final,"AI, II, TA"
board (N),board,final,N
"board (N)
wood","board, wood",final,N
"board (N)
wood","board, wooden surface",final,AI
boat,boat,final,AI
body,body,final,"N, PART, AI"
condition (body),body condition,final,II
movement (body),body movement,final,AI
"shape (body)
size (body)","body shape, size",final,"II, AI"
boil,boil,final,II
bone,bone,final,"N, AI"
born,born,final,AI
"born
birth","born, birth",final,"AI, TA"
bounce,bounce,final,AI
bowstring,bowstring,final,"AI, N"
"braid (V)
twist","braiding, twisting",final,"AI+O, TI"
brain,brain,final,N
"brain
head","brain, head",final,AI
"branch
prong","branch, prong",final,"II, AI"
bread,bread,final,
breast,breast (woman’s),final,AI
breath,breath action (involuntary),final,"AI, TA, TI"
breathe,breathe,final,AI
breeches,breeches,final,N
brew,brew it,final,TI
bring down,bring down,final,AI
"bring
carry","bring, carry",final,"TA, AI2"
"bring
convey","bring, convey",final,"TA, AI2"
"bring
convey","bringing, conveying",final,TI
"brush (N)
shrub","brush, shrubs",final,II
bucket,bucket,final,N
"build (house)
pitch (tent)","build a house, pitch a tent",final,AI
"build (house)
pitch (tent)
go","build a house, pitch a tent; go (with reference to a building)",final,AI
"building
room","building, room",final,NI
burn,burn,final,"II, TA, TI"
"burn
blaze
shine","burn, blaze, shine",final,II
"burn
heat","burn, heat",final,TI1b
burrow,burrow,final,AI
"buy
owe",buy him on credit/owe money for him,final,TA
"buy
owe",buy it on credit/owe money for it,final,TI
action,by action,final,
air,by air,final,AI
action (mental),by mental action,final,"TI, TA"
calf (leg),calf (of leg),final,AI
calf (leg),calf of leg,final,N
called,called,final,
camp (V),camp,final,AI
camp (V),camp overnight,final,AI
camp (V),camping,final,AI
"camp (V)
move",camping and moving,final,AI
canoe,canoe,final,
"canoe (V)
swim","en canot, à la nage",final,AI
cap,cap,final,NI
"blown
carried",emporté par le vent,final,
"carried
current",carried by current,final,
carry,carry,final,"AI, TA"
carry,carry a load,final,AI
carry (on back),carry him on one's back,final,TA
carry (on back),carry it on one's back,final,TI
carry (on back),carry load (especially game) on back,final,AI
carry off,carry off,final,TA
carry (on back),carry on back,final,"AI, TA, TI"
carry (on back),carry on one's back,final,"TA, TI"
carry (on shoulder),carry on shoulder,final,"TA, TI"
carry (on shoulder),carry on shoulders,final,AI
carry (on back),carry on the back,final,"TRANS, TA, TI"
carry (on shoulder),carry on the shoulder,final,"TA, TI"
carry (on shoulder),carry on the shoulders,final,"AI, TA, TI"
carry (in mouth),carry s.o. in the mouth,final,TA
carry (in mouth),carry s.t. in the mouth,final,TI
carry,carry something,final,AI
"carry
convey",carry or convey him,final,TA
"carry
convey",carry or convey it,final,TI
"carry
convey",carry/convey him,final,TA
"carry
convey",carry/convey it,final,TI
carry (in arms),en portant qqch./qqn. dans les bras,final,"AI, TA"
"carve
whittle","carve, whittle",final,"TA, TI"
cat,cat,final,N
paint (ceremonial),ceremonial paint,final,N
"ceremony
mysterious
sacred
spiritual","ceremony, mysterious, sacred, spiritual ??",final,AI
"character
personality","character, personality",final,AI
characterized (as),characterized as,final,AI
chase,chase,final,"TRANS, AI, TA"
"chase
pursue","chase, pursue",final,"TA, TI"
"chase
send","chase, send",final,"TA, TI"
chase,chasing,final,"AI, TA"
cheek,cheek,final,"N, AI"
chest,chest,final,AI
chief,chief,final,N
child,child,final,AI
child,"child, children",final,AI
"chin
jaw","chin, jaw",final,AI
chop,chop,final,TI
chop,chop with axe,final,"TI, TA"
"claw
hoof
nail","claw, nail, hoof",final,N
climb,climb,final,"intr, AI"
climb,climbing,final,"AI, TA, TI"
closure,closure,final,"TA, TI"
cloth,cloth,final,"II, N"
"cloth
material","cloth, material",final,N
"cloth
hide (N)
sheet","cloth, sheet, hide",final,"AI, II, TA"
wear (clothing),clothing (wearing),final,"AI, TI"
"clothing
robe","clothing, robe",final,"AI, N"
clothing,clothing1,final,AI
clothing,clothing2,final,AI
cloud,cloud,final,"N, II"
cloud,clouds,final,II
cold,cold,final,"AI, II, TA, TI"
"cold
frozen","cold, frozen",final,II
collision,collision,final,"TA, TI"
color,color,final,II
colored,colored,final,
come,come,final,AI
"come to have
have",come to have a (N),final,AI
come,come to s.o.,final,TA
wear (clothing),"concerning clothing, wear X type of clothes",final,AI
"price
value","concerning price, value, having X value",final,AI
smell (N),"concerning smell, have X smell",final,AI
confront,confront,final,"TA, TI"
consider,consider,final,AI
"constantly
habitually","constantly, habitually",final,
contact,"au contact, d'un objet, d'une surface",final,"AI, II"
container,container,final,N
"continuous
activity",continuous activity,final,"AI, II"
"continuous
motion
movement",mouvement continu,final,
"continuous
motion
movement",mouvement continue,final,"AI, II"
convey,convey,final,
convey,convey s.o.,final,TA
"convey
lead","convey, lead",final,"TA, TI"
conveyance,conveyance,final,TA
cook,cook,final,AI
cook,cook for s.o.,final,TA
cook,cuit,final,V
"cook
boil","cooking, esp. boiling",final,"AI, TA, TI"
"cook
process","cooking, processing",final,"AI, TA, TI"
cord,cord,final,N
"cord
garter
net","cord, garter, net",final,"II, N"
cordage,cordage,final,
"cornmeal
mush","cornmeal, mush",final,N
"cost
priced","cost, be priced",final,"AI, II"
"cost
priced","cost, be priced, cost or be priced at so many dollars",final,"AI, II"
"cost
value",cost; value,final,II
count,count,final,"AI, II, TA, TI"
count,count something,final,TI
country of,country of,final,N
"covering
garment
hide","covering, garment, hide",final,N
cow,cow,final,N
crawl,crawl,final,"intr, AI"
"crawl
climb","crawl, climb",final,AI
"crawl
creep","crawl, creep",final,AI
cross (V),en franchissant,final,TI
cry,cry,final,AI
strength (current),force du courant,final,"II, AI"
cut,coupe,final,V
cut,cut,final,"TA, TI"
cut,cut him,final,TA
cut (hair),cut his hair,final,TA
cut,cut it,final,TI
"cut
whittle","cut, whittle",final,"N, AI, TA, TI"
cut,cutting,final,"AI, II"
dance,dance,final,AI
dance,dance2,final,AI
daughter,daughter,final,
dawn,dawn,final,II
day,day,final,"NI, PART, II"
"day
overnight","day, overnight. including for counting days of the week",final,II
"day
sky","day, sky",final,
day,days,final,N
day,days' time,final,N
"handle
deal with",deal with,final,"TA, TI"
decade,decade,final,PART
decay,decay,final,II
"tree
stick","deciduous tree, stick",final,N
declare,declare about s.o.,final,TA
declare,declare s.t. to be,final,II
"defecate
poop
stool
feces
turd","defecate, poop, stool, feces, turd",final,AI
"depth
hole",depth of a hole,final,II
animal,designation of animal,final,N
"want
desire (V)",desire to,final,AI
die,die,final,AI
dig,dig,final,AI
"dirt
clay
paint
earth","dirt, clay, paint, earth",final,N
"dirt
dirtiness","dirt, dirtiness",final,AI
"dish
bowl",dish,final,N
"dish
bowl","dish, bowl",final,N
distribute,distribute it,final,TI
do,do,final,"AI, TA, TI"
housework,do housework,final,AI
do (to),do to s.o. ??,final,TA
do violence,do violence,final,"TA, TI"
do (laying),do while laying,final,
"dance
do (laying)
place (self)","do while laying, place oneself, dance",final,"AI, II"
"do
act","do, act",final,"II, TI"
"do
act
behave","do, act, behave",final,AI
"do
act
behave","do, act, behave so",final,AI
"do
handle
deal with","do, handle, or deal with him",final,TA
"do
handle
deal with","do, handle, or deal with it",final,TI
"do
make","do, make",final,
"do
handle
deal with",do/handle/deal with him,final,TA
"do
handle
deal with",do/handle/deal with it,final,TI
dog,dog,final,N
"dog
horse","dog, horse",final,N
do,doing things generally,final,AI
dollar,dollar,final,PART
done to,done to,final,
"drag
haul
pull",(agent) drag,final,AI
"drag
haul
pull",drag,final,"TRANS, intr,TA, TI"
"drag
haul
pull",drag s.o.,final,TA
"drag
haul
pull","drag s.t., pull s.t.",final,TI
"drag
haul
pull","drag, haul",final,"AI, TA, TI"
"drag
haul
pull
cart (V)","drag, haul, cart",final,"TA, TI"
"drag
haul
pull","drag, haul, pull",final,AI
"drag
haul
pull",en traînant,final,AI
"drag (sleigh, tobaggan)",dragging a sleigh,final,
"drag (sleigh, tobaggan)",en traînant un toboggan,final,AI
"drag
haul
pull",en traînant quelqu'un,final,TA
dream,dream,final,"AI, TA"
dress,dress,final,"AI, N"
dressed,habillé,final,
drink,drink,final,AI
drink,drinking,final,"AI, TA, TI"
drip,drip,final,"AI, II"
"drip
leak","drip, leak",final,AI
drive,drive (in a vehicle),final,AI
drive,drive him,final,TA
drive,drive it,final,TI
"drive (horses)
tend (horses)","drive, tend horses",final,AI
"drop
lay
bring down","drop, lay, bring down",final,TI
drop,dropping,final,"TA, TI"
duck,duck,final,N
dung,dung,final,"N, AI"
dwell,dwell,final,
"dwelling
house",dwelling,final,N
"dwelling
house",dwelling place,final,N
"dye (V)
paint (V)
color (V)","dye, paint, color",final,"AI, II, TA, TI"
ear,ear,final,"N, AI"
"earth
ground","earth, ground",final,NI
"earth
soil","earth, soil",final,"N, II"
eat,eat,final,"AI, TA, TI"
"eat
bite
mouth
see","eat, bite, mouth; see",final,TI
eat,eating,final,"AI, TA, TI"
"root
turnip","edible root, wild turnip",final,N
"edifice
build
dwell","edifice, build, dwell",final,"TA, TI"
egg,egg,final,AI
elbow,elbow,final,"N, AI"
state (emotional),emotional state (invol.),final,"AI, TA, AI+O"
"appearance (environmental)
weather","environment appearance, appear environmentally, typically about weather or a scene",final,II
equivalent in volume to,equivalent in volume to...,final,"AI, II"
event,événement,final,II
event,event,final,II
extended,étendu,final,"V, AI"
"extended
lying (position)","extended, lying",final,
"extended
lying (position)","étendu, allongé",final,
extension (in space),extension in space,final,II
medium (external),external medium,final,
eye,eye,final,"N, AI"
"eye
face","eye, face",final,AI
"eye
see","eye, see",final,
eyebrow,eyebrow,final,AI
eye,eyes,final,AI
form (fabricated),fabricated form of X,final,N
face,face,final,"N, AI"
"face
corn","face, corn",final,AI
expression (facial),facial expression,final,"AI, TA, TI"
fall,fall,final,
"fall
lower (V)
undergo
lie down","fall down, lower, undergo, lie down",final,"AI, II"
"fall
lie (position)","fall, lie",final,TI
"fall
land
step
lie (position)","fall, land, step, lie",final,"AI, II"
"fall
cause","fall, let fall",final,"TA, TI"
"fall
lie (position)","fall, lie",final,"AI, II, TA, TI"
fast (V),fasting,final,TI
"fat (N)
grease (N)","fat, grease",final,N
feather,feather,final,"II, N"
"feather
quill","feather, quill",final,NA
feed,feed,final,TA
feel,feel,final,AI
feel,feel X,final,AI
feel for,feels for someone as a (N),final,AI
feign,feign,final,AI
"feign
pretend","feign, pretend",final,AI
"feign
pretend","feindre, faire semblant",final,
fellow,fellow,final,PART
"female
woman",female,final,NA
"female
woman",female' in personal names,final,NA
fight,fight s.o.,final,AI
fill,fill,final,"AI, II, TA, TI"
filled,filled,final,
final,final,final,"N, AI, II, TA, TI"
finger,finger,final,N
fir,fir,final,N
fire,fire,final,AI
"fire
burn","fire, burn",final,"AI, II, TI"
"fire
burn
blaze
shine","fire, burn, blaze, shine",final,II
"fire
heat","fire, heat",final,"TA, TI, II, AI"
"fire
heat",fire/heat action (not human),final,AI
fish,fish,final,"AI, N"
tail (fish),fish tail,final,N
flap (wings),flap one's wings,final,AI
flash,flash,final,"AI, TI"
flee,flee,final,AI
flee,flee to s.o.,final,TA
flee,en fuyant,final,AI
flee,(anim.) flees,final,AI
"flesh
muscle
strength","flesh, muscle, strength",final,AI
fling,fling,final,
"fling
throw
shake
jerk","fling s.o., throw s.o., shake s.o., jerk s.o.",final,TA
"fling
throw
shake
jerk","fling s.t., throw s.t., shake s.t., jerk s.t.",final,TI
"fling
throw
shake
jerk","fling, throw, shake, jerk",final,AI
"flip
jerk",flip or jerk him,final,TA
"flip
jerk",flip/jerk him,final,TA
"flip
jerk",flip/jerk it,final,TI
float,float,final,"AI, II"
"float (slanted)
hang (slanted)","float on a slant, hang slanted",final,II
"float
on water","float, be on water",final,"AI, TA, II"
float,en flottant,final,
flood,flood,final,II
flooded,flooded,final,
flow,coule,final,
flow,flow,final,"intr, II"
"flow (N)
current","flow, current",final,II
fly (V),fly,final,AI
"fly (V)
drive","voler, conduire",final,
"fly (V)
drive
fall
dive
tremble
shake
shiver","voler, conduire, tomber/plonger dans l'eau, trembler, secouer, frissonner",final,AI
"fly (V)
fall
speed (V)","fly, fall, speed",final,"AI, II"
"fly (V)
hang","fly, hang",final,"AI, II"
"fly (V)
rush
fall
speed (V)","fly, rush, fall",final,"AI, II"
"fly (V)
speed (V))","fly, speed",final,intr
fly (V),flying,final,"AI, TA, TI"
"foliage
leaves","foliage, leaves",final,"II, AI"
follow,follow,final,"TA, TI"
foot,foot,final,"N, AI, TA, TI"
"foot
body",foot or body,final,"AI, TA, TI"
"foot
body",foot or body action,final,"AI, II, TA, TI"
"movement (body, foot)",foot or body movement,final,"TA, TI"
"footprint
track (N)","footprint, track",final,AI
for,for someone,final,TA
for,"for someone, for something",final,"TA, TI"
ford,ford,final,
forehead,forehead,final,"AI, N"
"former
absent","former, absent",final,N
fox,fox,final,N
freeze,freeze,final,"II, TA"
freeze,freezing action,final,"II, AI"
"frequent
deal with","frequent, deal with",final,
frog,frog,final,N
"berry
grain
fruit","fruit, berry, grain",final,"NA, NI"
full,full,final,"PART, AI, II"
fur,fur,final,AI
foot (furry),furry-footed,final,AI
garment,garment,final,"N, AI"
"gather
make","gather, make",final,AI
"gather
produce","gather, produce",final,intr
"gather
produce","gathering, producing",final,AI
get,get,final,
get (haircut),get a haircut,final,AI
intoxicated,get him intoxicated,final,TA
give (drink),give drink to s.o.,final,TA
"gland
tonsil",gland (tonsil),final,
"gland
temple","gland of the neck, temple",final,AI
globular,globular,final,II
go,go,final,"AI, II, TA"
"go at
assail","go at, assail",final,
"go behind
follow","go behind him, follow him",final,TA
"go behind
follow",go behind/follow him,final,TA
"go behind
follow",go behind/follow it,final,TI
down (a rapid),go down a rapid,final,AI
go (fast),go fast,final,"AI, II"
go from,go from,final,"TA, TI"
go home,go home,final,AI
in (group),go in a group,final,AI
sleep (right away),go to sleep right away,final,AI
"go
fall","go, fall",final,II
"go
move","go, move",final,AI
"go
walk","go, walk",final,
"go
walk
travel","go, walk, travel",final,AI
walk,"go, walking",final,AI
goose,goose,final,N
"berry
grain
fruit","grain, berry, fruit",final,N
"grass
herb","grass, herb",final,N
"grass
plant (N)","grass, plants",final,II
"green
greenery
leaf","green, greenery, leaf",final,N
"grind
saw","grind, saw",final,"TA, AI2"
ground,ground,final,AI
"ground
earth
land","ground, earth, land",final,II
"ground
earth
land","ground, land, earth",final,II
"action (band)
movement (group)","group movement, band action",final,II
"group
class","group, class",final,"AI, II"
"group
bundle (N)
bunch (N)
package (N)","groups, bundles, bunches, packages",final,PART
"grove
woods
forest","grove, woods, forest",final,NI
grow,grow,final,"AI, II, TI"
"grow
raise","growing, raising",final,"AI, TA"
"growth
shape (N)","growth, shape",final,"AI, II"
"make (gum)
make (pitch)","gum - make, pitch - make",final,AI
hair (head),hair of head,final,AI
hair (head),hair of the head,final,AI
"hammer
hit
pound","hammer; hit, pound on",final,
hand,hand,final,"N, AI"
"hand
finger","hand, finger",final,N
hand,hand1,final,AI
hand,hand2,final,AI
"handle (N)
post","handle, post",final,N
hang,hang,final,"AI, II"
hang (dry meat),hang dry meat,final,AI
"hang from
cling","hang from, cling to",final,"AI, II"
hang up,hang him up,final,TA
hang up,hang it up,final,TI
"hang
fall","hang, fall",final,"AI, II"
"hang
float","hang, float",final,AI
happen,happen,final,II
hat,hat,final,N
"drag
haul
pull",haul,final,N
"drag
haul
pull
pack (V)","haul s.o., pack s.o.",final,TA
"drag
haul
pull
load (V)","haul, load",final,AI
have,avoir,final,
have,have,final,AI
have,have a (N),final,AI
"belong (to clan)
have (name)","have a name from such a nation or tribe, belong to such a clan",final,AI
have (intense attitude),have an intense attittude toward,final,
"belong (to clan)
have (name)","have an X name, belong to the X clan",final,
have as,have him/her as,final,TA
lodge,have lodge,final,AI
living (still),have one's X/Xs still living,final,
have (odor),have the odour of,final,
covered (with),"have, be covered with",final,"AI, II"
have,"have, have an X, have Xs",final,AI
drink,he drinks it,final,AI
head,head,final,"N, AI"
"head
hair","head, hair",final,"N, AI"
hear,hear,final,"AI, TA, TI"
hear,hear s.o.,final,TA
hear,hear things,final,AI
"hear
ear","hear, ear",final,"TA, TI"
"hear
understand","hear, understand",final,AI
heart,heart,final,"N, AI"
heat,heat,final,"N, TA, TI, AI, II"
heat (engine),heat of engine,final,II
"heat
engine","heat, engine",final,AI
heated,chauffé,final,
heated,heated,final,"AI, II"
heated (by sun),heated by sun,final,
heat,heating,final,II
heel,heel,final,AI
"height
length
high
long","height, length, high, long",final,AI
here,here,final,PART
hill,hill,final,"N, NI, PART, II"
"hill
butte","hill, butte",final,NI
"hill
mountain","hill, mountain",final,II
"hill
mountain","hill, mountain",final,NI
hit,hit,final,"TA, TI"
"hit
strike",hit or strike him,final,TA
"hit
strike",hit or strike it,final,TI
"hit
strike",hit/strike him,final,TA
"hit
strike",hit/strike it,final,TI
"hold
handle","hold, handle",final,
hole,hole,final,II
hoof,hoof,final,N
horn,horn,final,N
"horn
antler","horn, antler",final,AI
horse,horse,final,N
"house
building",house,final,"N, NI, PART, AI"
"house
building","house, building",final,NI
"house
floor","house, floor",final,PART
hundred,hundred,final,PART
hungry,hungry,final,AI
hunt,hunt,final,AI
motion (hurried),hurried motion,final,AI
ice,ice,final,AI
illness,illness,final,"AI, TA, AI+O"
immersed,immersed,final,
in mouth,in mouth,final,"TA, TI"
in (relation to),in relation to,final,"TA, TI"
evening,in the evening; last evening,final,NI
in mouth,in the mouth,final,"TA, TI"
in water,in water,final,"AI, II, TA, TI"
"influence
entice","influence s.o., entice s.o.",final,TA
installed,installé,final,V
"instrument
product","instrument, product",final,N
"intestine
bowel","intestine, bowel",final,AI
"face
mouth","involvement of the face, or the mouth",final,TA
island,island,final,II
"club
hand
paddle
tool","it by a tool or by something held in the hand, it with the hand used as a club or paddle",final,TI
"to
for
on","it, to for, or on him",final,TA
"jaw
chin","jaw, chin",final,
"jump
leap","jump, leap",final,AI
"jump
tip
fall
leap
fly (V)
lurch","jump, tip, fall, leap, fly, lurch",final,AI
kettle,kettle,final,"N, AI"
kill,kill,final,"AI, TA"
kill,kill a thing,final,AI
kill,kill s.o.,final,TA
"kill
destroy",kill; destroy,final,TI
knee,knee,final,"N, AI"
knife,knife,final,"N, PART"
lake,lac,final,
land,land,final,"N, AI"
land (V),land s.o.,final,TA
"land (N)
country","land, country",final,N
"land (N)
earth","land, earth",final,N
"land (N)
field","land, field",final,"II, N"
landform,landform,final,II
language,language,final,"AI, TA"
laugh,laugh,final,AI
"laugh
play","laugh, play",final,AI
"lay
place","lay, place (two goal)",final,TA
"lay
throw","lay, throw",final,"AI, TA, TI"
"lay
throw","lay, throw an inanimate object",final,
lead,lead,final,"AI, TA, TI"
"lead
carry","lead, carry",final,TI
"lead
carry","lead, carry",final,TA
leaf,leaf,final,"N, II"
leak,leak,final,"AI, II"
leg,leg,final,"N, PART, AI"
legging,legging,final,N
lie,lie,final,"AI, II"
lie (water),lie as water,final,II
lie down,lie down,final,AI
"lie (position)
be","lie, be",final,AI
"fall
lie (position)","lie, fall",final,"AI, II, TA"
"lie (position)
fall
drop
lay","lie, fall, drop, lay",final,"TA, AI, II, AI2"
"lie (position)
rest","lie, rest",final,AI
"lie (position)
step
dance","lie, step, dance",final,"AI, TA"
"lie (position)
be","(inan.) lies, is",final,II
"light
heat","light, heat",final,"II, TA, TI"
"light
see","light, see",final,AI
"like (P)
similar","like, similar",final,NA
liquid,liquid,final,"N, NI, AI, II"
liquid,liquide,final,
"liquid
water","liquid, water",final,"II, AI"
live,live,final,AI
"live (V)
alive","live, be alive",final,AI
"live (V)
dwell","live, dwell",final,"AI, TA"
liver,liver,final,"N, AI"
livestock,livestock,final,AI
do (to livestock),livestock - do to,final,AI
"livestock
horses
cattle","livestock, especially horses; cattle",final,NA
"livestock
horses
cattle
herd","livestock, herd, especially horses or cattle",final,AI
load,load,final,TA
"load
carry","load, carry",final,"AI, TA, TI"
located,placé,final,V
location,location,final,"II, N"
lodge,"lodge, ceremonial lodge",final,N
"dwelling
house
lodge","lodge, dwelling, house",final,II
"dwelling
house
lodge
tent","lodge, dwelling, tent",final,NI
"long
length","long, length",final,II
look,look,final,AI
look at,look (at),final,"AI, TA, TI"
look at,look at,final,"TA, TI"
"appear
look like
seem",look like a (N),final,"AI, II"
"appear
look like
seem","look like, appear as",final,AI
"appear
look like
seem","look so, appear to be so",final,"AI, II"
"appear
look like
seem","look X, appear to be X",final,"AI, II"
"look
see","look, see",final,"AI, TA, TI"
"appear
look like
seem",look; appear,final,unknown
look,a l'air,final,
lots,lots of,final,
louse,louse,final,"N, AI"
lie,lying,final,AI
lying (position),"lying, in contact with a surface",final,
"lying (position)
prostrate","lying, prostrate",final,AI
lynx,lynx,final,N
make,made,final,N
make,make,final,AI
picture (of),make a picture of him,final,TA
sound,make a sound with it,final,"TI, II"
make (for self),make for oneself,final,AI
way,make its way,final,unknown
way,make its way,final,
noise (loud),make loud noise,final,AI
noise,make noise,final,"AI, II"
sound,make sound,final,AI
track (N),make tracks,final,"intr, AI"
"make
create","make, create",final,"TA, AI"
"make
gather","make, gather",final,AI
"make
gather
collect","make, gather, collect",final,AI
"make
gather
produce","make, gather, produce such-and-such",final,AI
"make
obtain","make, obtain",final,AI
"make
pick up
catch
hunt
work with","faire, ramasser, attraper, chasser, travailler avec",final,intr
"male
man",male,final,N
"male
young",male person/ young being,final,
"male
man","male, man",final,N
"male
man",man,final,"N, NA"
"male
man
person","man, person",final,N
"movement (sudden, rapid)
pull",signifie que l'action décrite dans l'initiale est faite en tirant quelque chose ou avec des mouvements brusques et rapides,final,
medicine,medicine,final,
action (mental),mental action,final,"TA, TI"
feeling (mental),mental feeling,final,"AI, TA"
metal,metal,final,"N, NA, NI"
,middle,final,"AI, II"
mitten,mitten,final,N
"moccasin
shoe","moccasin, shoe",final,N
money,money,final,
month,month,final,AI
morning,morning,final,PART
motion,motion,final,AI
"motion
walk","motion, walk",final,AI
motorized,motorisé,final,V
mountain,mountain,final,II
mouth,mouth,final,"N, AI, TA, TI"
"mouth
smell","mouth, smell",final,AI
move,bouge,final,V
move,move,final,"intr, AI, II, TA, TI"
move,move ??,final,AI
move (camp),move camp,final,AI
"move
on water",move on water,final,"TA, TI"
move (quickly),move quickly,final,"AI, II"
"move
affect
convey","move, affect, convey",final,TA
"move
canoe","move, canoe",final,intr
"move
go","move, go",final,"AI, II"
"in configuration
moved",moved in configuration,final,
movement,movement,final,"AI, II"
movement,movement against surface,final,"II, TA, TI"
"body
foot
movement",movement of foot or body,final,"AI, II, TA"
movement (waves),movement of waves,final,unknown
process (movement),movement processes,final,AI
movement (through air),movement through air,final,"AI, II"
movie,movie,final,II
muscle,muscle,final,AI
"nail
claw","nail, claw",final,AI
name,name,final,"AI, II, TA, TI"
named,named,final,"AI, II"
narrate,narrate,final,"AI, TA, TI"
NG,NG,final,
NG,NG,final,TA
neck,neck,final,"N, AI"
"net
string","net, string",final,N
night,night,final,"PART, AI"
noise,"noise, making noise",final,"AI, II"
movement (non-oriented),mouvement non-orienté,final,
nose,nose,final,"N, AI"
nut,nut,final,N
be,occurs in verbs of being,final,AI
have,occurs in verbs of having,final,AI
produce,occurs in verbs of producing,final,AI
old,old,final,
man,old man,final,
tobaggan,en tobaganne,final,V
on foot,en marchant,final,AI
"in water
on foot",à pied dans l'eau,final,AI
"on water
canoe
swim
in air
on foot","sur l'eau (en canot, à la nage), au vol out à pied",final,"TI, TA"
"on water
canoe
swim
in air
on foot","on, at, or about him (applicative)",final,TA
number (ordinal),ordinal number suffix,final,II
overnight,overnight,final,AI
owl,owl,final,N
paddle,paddle,final,"intr, N"
"paddle
swim","paddle, swim",final,AI
pain,pain,final,"AI, TI"
paint,paint,final,AI
palate,palate,final,AI
paper,paper - do to s.t.,final,TI
lie (paper),paper lie,final,II
partridge,partridge,final,N
pass,pass,final,
path,path,final,N
"path
road","path, road",final,"N, AI, II"
"path
streak","path, streak",final,II
penis,penis,final,AI
people,people,final,AI
"perform
do
act","perform a deed, do something; act",final,AI
person,person,final,N
authority,person of authority,final,N
person of such land,person of such land,final,NA
"person
man","person, man",final,NA
"persuade
urge
cause
speak",persuade; urge; cause to by speaking,final,"TI, TA"
house,pertaining to house,final,AI
smell,pertaining to smell emission,final,
wind (N),pertaining to wind,final,II
feeling (physical),physical feeling of body (temporary),final,"AI, TA, AI+O"
place (V),place,final,"N, PART, AI, II, TA, TI"
place (quickly),place s.o. quickly,final,TA
"place (V)
keep
put","place s.t., keep s.t., put s.t.",final,TI
"place (V)
position
set","place thing, position things, set things",final,AI
"place (N)
area
district","place, area, district",final,NI
"place (V)
arrange","place, arrange",final,"II, TA, TI"
"place (N)
house","place, house",final,"N, PART"
"place (V)
set","place, set",final,"TA, AI2, TI"
"place (N)
town","place, town",final,NI
placed,placed,final,
"placement
arrangement","placement, arrangement",final,II
plant (N),plant,final,N
"plant (N)
bush","plant, bush",final,NI
"plant (N)
vegetation",plant; vegetation,final,AI
play,play (= not work),final,AI
play,play (as a child),final,AI
"fool around with
play around with","play around with, fool around with",final,"TA, TI"
play (cards),play cards,final,AI
"handgame
play (handgame)","play handgame, handgame",final,AI
plow,plow,final,TRANS
plow,plow ground,final,AI
point out,point out,final,TI
poke,poking,final,"TA, TI"
porcupine,porcupine,final,N
possess,possess,final,AI
possession,possession,final,AI
posture,posture,final,
potato,potato,final,NA
"potato
tuber","potato, tuber",final,N
"meat (pounded, dry)","pounded, dry meat",final,N
pray,pray,final,AI
pretend (V),pretend,final,AI
pretend (V),pretend to,final,AI
"pretend (A)
imitation","pretend, imitation",final,"N, AI"
priced,priced,final,
proceed,proceed,final,II
process,procés,final,
"process (V)
make
create",process,final,"AI, II"
process,process ,final,unknown
"process (V)
make
create","process, make, create",final,
"process (N)
result",process/result,final,N
time,progression of time,final,AI
provide for,provide for,final,
provide,provide to,final,
"drag
haul
pull",pull,final,"AI, II, TA, TI"
"drag
haul
pull
draw (pull)","pull, drag, or draw him",final,TA
"drag
haul
pull
draw (pull)","pull, drag, or draw it",final,TI
"drag
haul
pull
draw (pull)",pull/drag/draw him,final,TA
"drag
haul
pull
draw (pull)",pull/drag/draw it,final,TI
"punctured
pierced","punctured, pierced",final,AI
pupil (eye),pupil of eye,final,AI
"pursue
kill","pursue, kill",final,"TA, TI"
"pursue
kill",pursue/kill,final,"TA, TI"
push,pousser,final,AI
"put
place (V)",put,final,"TA, TI"
load (V),put a load on him,final,TA
load (V),put a load on it,final,TI
"put
place (V)","put, place",final,"TA, TI"
"put
place (V)
set
lay","put/set/lay him at that place (relative), put/set/lay him down",final,TA
"put
place (V)
set
lay","put/set/lay it at that place, put/set/lay it down",final,TI
quadruped,quadruped,final,N
